NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 165; Bronx County; New York,333,214,36,005,016500,36005016500,0.6426426426426426
Census Tract 166; Bronx County; New York,829,73,36,005,016600,36005016600,0.08805790108564536
Census Tract 167; Bronx County; New York,1150,675,36,005,016700,36005016700,0.5869565217391305
Census Tract 169; Bronx County; New York,564,368,36,005,016900,36005016900,0.6524822695035462
Census Tract 171; Bronx County; New York,0,0,36,005,017100,36005017100,
Census Tract 173; Bronx County; New York,2276,1723,36,005,017300,36005017300,0.7570298769771528
Census Tract 175; Bronx County; New York,2831,2413,36,005,017500,36005017500,0.8523489932885906
Census Tract 177.01; Bronx County; New York,1374,780,36,005,017701,36005017701,0.5676855895196506
Census Tract 177.02; Bronx County; New York,1657,924,36,005,017702,36005017702,0.5576342788171395
Census Tract 179.01; Bronx County; New York,1686,1387,36,005,017901,36005017901,0.8226571767497034
Census Tract 179.02; Bronx County; New York,1319,1058,36,005,017902,36005017902,0.8021228203184231
Census Tract 181.01; Bronx County; New York,1040,600,36,005,018101,36005018101,0.5769230769230769
Census Tract 181.02; Bronx County; New York,2180,1878,36,005,018102,36005018102,0.8614678899082568
Census Tract 183.01; Bronx County; New York,2016,1281,36,005,018301,36005018301,0.6354166666666666
Census Tract 183.02; Bronx County; New York,1460,1091,36,005,018302,36005018302,0.7472602739726028
Census Tract 184; Bronx County; New York,1407,329,36,005,018400,36005018400,0.23383084577114427
Census Tract 185.01; Bronx County; New York,1240,1058,36,005,018501,36005018501,0.853225806451613
Census Tract 185.02; Bronx County; New York,2100,1849,36,005,018502,36005018502,0.8804761904761905
Census Tract 189; Bronx County; New York,2857,2182,36,005,018900,36005018900,0.7637381869093455
Census Tract 193; Bronx County; New York,2410,2024,36,005,019300,36005019300,0.8398340248962656
Census Tract 194; Bronx County; New York,728,195,36,005,019400,36005019400,0.26785714285714285
Census Tract 195; Bronx County; New York,2650,2387,36,005,019500,36005019500,0.9007547169811321
Census Tract 197; Bronx County; New York,2513,2093,36,005,019700,36005019700,0.8328690807799443
Census Tract 199; Bronx County; New York,3251,2355,36,005,019900,36005019900,0.7243924946170409
Census Tract 200; Bronx County; New York,1491,855,36,005,020000,36005020000,0.5734406438631791
Census Tract 201; Bronx County; New York,1351,1018,36,005,020100,36005020100,0.7535159141376758
Census Tract 202; Bronx County; New York,972,532,36,005,020200,36005020200,0.5473251028806584
Census Tract 204; Bronx County; New York,1029,510,36,005,020400,36005020400,0.4956268221574344
Census Tract 205.01; Bronx County; New York,2701,2212,36,005,020501,36005020501,0.8189559422436135
Census Tract 205.02; Bronx County; New York,1048,778,36,005,020502,36005020502,0.7423664122137404
Census Tract 206.01; Bronx County; New York,990,510,36,005,020601,36005020601,0.5151515151515151
Census Tract 209; Bronx County; New York,1965,1608,36,005,020900,36005020900,0.8183206106870229
Census Tract 210.01; Bronx County; New York,3562,2328,36,005,021001,36005021001,0.6535654126895003
Census Tract 210.02; Bronx County; New York,3182,2205,36,005,021002,36005021002,0.6929604022627278
Census Tract 211; Bronx County; New York,1997,1440,36,005,021100,36005021100,0.7210816224336505
Census Tract 212; Bronx County; New York,2294,1697,36,005,021200,36005021200,0.7397558849171753
Census Tract 213.01; Bronx County; New York,464,240,36,005,021301,36005021301,0.5172413793103449
Census Tract 213.02; Bronx County; New York,2303,1961,36,005,021302,36005021302,0.8514980460269214
Census Tract 215.01; Bronx County; New York,1360,953,36,005,021501,36005021501,0.700735294117647
Census Tract 215.02; Bronx County; New York,2239,1468,36,005,021502,36005021502,0.6556498436802144
Census Tract 216.01; Bronx County; New York,1609,1035,36,005,021601,36005021601,0.6432566811684276
Census Tract 216.02; Bronx County; New York,2361,1630,36,005,021602,36005021602,0.6903854299025837
Census Tract 217; Bronx County; New York,1781,1405,36,005,021700,36005021700,0.7888826501965188
Census Tract 218; Bronx County; New York,2198,1272,36,005,021800,36005021800,0.5787079162875342
Census Tract 219; Bronx County; New York,384,263,36,005,021900,36005021900,0.6848958333333334
Census Tract 220; Bronx County; New York,650,421,36,005,022000,36005022000,0.6476923076923077
Census Tract 221.01; Bronx County; New York,1292,927,36,005,022101,36005022101,0.7174922600619195
Census Tract 221.02; Bronx County; New York,1655,1363,36,005,022102,36005022102,0.8235649546827795
Census Tract 222; Bronx County; New York,1066,724,36,005,022200,36005022200,0.6791744840525328
Census Tract 223; Bronx County; New York,2220,2009,36,005,022300,36005022300,0.9049549549549549
Census Tract 224.01; Bronx County; New York,998,445,36,005,022401,36005022401,0.44589178356713427
Census Tract 224.03; Bronx County; New York,1142,651,36,005,022403,36005022403,0.5700525394045534
Census Tract 224.04; Bronx County; New York,1976,1102,36,005,022404,36005022404,0.5576923076923077
Census Tract 225; Bronx County; New York,2319,1562,36,005,022500,36005022500,0.6735661923242777
Census Tract 227.01; Bronx County; New York,2008,1580,36,005,022701,36005022701,0.7868525896414342
Census Tract 227.02; Bronx County; New York,559,429,36,005,022702,36005022702,0.7674418604651163
Census Tract 227.03; Bronx County; New York,717,520,36,005,022703,36005022703,0.7252440725244073
Census Tract 228; Bronx County; New York,2369,1042,36,005,022800,36005022800,0.4398480371464753
Census Tract 229.01; Bronx County; New York,2022,1511,36,005,022901,36005022901,0.7472799208704253
Census Tract 229.02; Bronx County; New York,1165,744,36,005,022902,36005022902,0.6386266094420601
Census Tract 230; Bronx County; New York,1033,423,36,005,023000,36005023000,0.409486931268151
Census Tract 231; Bronx County; New York,427,268,36,005,023100,36005023100,0.6276346604215457
Census Tract 232; Bronx County; New York,827,435,36,005,023200,36005023200,0.5259975816203144
Census Tract 233.01; Bronx County; New York,1716,1355,36,005,023301,36005023301,0.7896270396270396
Census Tract 233.02; Bronx County; New York,1049,815,36,005,023302,36005023302,0.776930409914204
Census Tract 235.01; Bronx County; New York,1236,936,36,005,023501,36005023501,0.7572815533980582
